PriceCategory,Prefecture,Municipality,DistrictName,TradePrice,Area,BuildingYear,Period,UnitPrice,Age,Latitude,Longitude
成約価格情報,福岡県,北九州市門司区,旧門司,11000000,75.0,2002,2021,483999.99999999994,19,33.954876,130.9666325
不動産取引価格情報,福岡県,北九州市門司区,二タ松町,8900000,75.0,2000,2021,391600.0,21,33.927969,130.945472
不動産取引価格情報,福岡県,北九州市門司区,高田,21000000,55.0,2016,2021,1260000.0,5,33.9004675,130.93496399999998
不動産取引価格情報,福岡県,北九州市門司区,大里本町,22000000,75.0,2013,2021,967999.9999999999,8,33.909066333333335,130.93354266666665
不動産取引価格情報,福岡県,北九州市門司区,旧門司,7800000,95.0,1989,2021,270947.3684210526,32,33.954876,130.9666325
不動産取引価格情報,福岡県,北九州市門司区,柳町,18000000,90.0,2000,2021,660000.0,21,33.90272025,130.938245
成約価格情報,福岡県,北九州市門司区,下二十町,4200000,75.0,1980,2021,184800.0,41,33.911685,130.939837
成約価格情報,福岡県,北九州市門司区,東港町,40000000,135.0,1999,2021,977777.7777777778,22,33.950406,130.964052
不動産取引価格情報,福岡県,北九州市若松区,二島,7900000,75.0,1991,2021,347599.99999999994,30,33.89316650000001,130.7430675
成約価格情報,福岡県,北九州市若松区,迫田町,2300000,65.0,1983,2021,116769.23076923075,38,33.914098,130.786272
不動産取引価格情報,福岡県,北九州市若松区,浜町,3500000,65.0,1990,2021,177692.3076923077,31,33.907242333333336,130.81070266666666
成約価格情報,福岡県,北九州市若松区,本町,17000000,85.0,2000,2021,660000.0,21,33.90296433333333,130.80985633333333
成約価格情報,福岡県,北九州市若松区,二島,4800000,70.0,1990,2021,226285.71428571426,31,33.89316650000001,130.7430675
成約価格情報,福岡県,北九州市若松区,二島,19000000,95.0,2008,2021,660000.0,13,33.89316650000001,130.7430675
不動産取引価格情報,福岡県,北九州市若松区,二島,19000000,85.0,2008,2021,737647.0588235294,13,33.89316650000001,130.7430675
不動産取引価格情報,福岡県,北九州市若松区,北湊町,7000000,80.0,1996,2021,288750.0,25,33.915935,130.804189
不動産取引価格情報,福岡県,北九州市若松区,鴨生田,21000000,70.0,2015,2021,990000.0,6,33.8959265,130.73605425
成約価格情報,福岡県,北九州市若松区,ひびきの南,15000000,65.0,2008,2021,761538.4615384615,13,33.8866905,130.7131985
不動産取引価格情報,福岡県,北九州市若松区,山手町,17000000,75.0,2010,2021,747999.9999999999,11,33.904018,130.80202
不動産取引価格情報,福岡県,北九州市若松区,中畑町,2000000,65.0,1984,2021,101538.46153846153,37,33.91061,130.785191
成約価格情報,福岡県,北九州市若松区,二島,17000000,90.0,2008,2021,623333.3333333333,13,33.89316650000001,130.7430675
成約価格情報,福岡県,北九州市若松区,童子丸,9300000,65.0,1986,2021,472153.84615384607,35,33.891079500000004,130.7652615
不動産取引価格情報,福岡県,北九州市若松区,本町,21000000,80.0,2009,2021,866250.0,12,33.90296433333333,130.80985633333333
不動産取引価格情報,福岡県,北九州市若松区,童子丸,9300000,60.0,1986,2021,511500.0,35,33.891079500000004,130.7652615
不動産取引価格情報,福岡県,北九州市若松区,白山,19000000,85.0,2007,2021,737647.0588235294,14,33.904934,130.80254533333334
不動産取引価格情報,福岡県,北九州市若松区,北湊町,9300000,70.0,1996,2021,438428.5714285714,25,33.915935,130.804189
成約価格情報,福岡県,北九州市若松区,ひびきの南,17000000,80.0,2008,2021,701250.0,13,33.8866905,130.7131985
不動産取引価格情報,福岡県,北九州市若松区,山手町,19000000,75.0,2010,2021,836000.0,11,33.904018,130.80202
成約価格情報,福岡県,北九州市若松区,東二島,4700000,75.0,1979,2021,206799.99999999997,42,33.8904424,130.75418
成約価格情報,福岡県,北九州市若松区,東二島,4900000,75.0,1979,2021,215600.0,42,33.8904424,130.75418
不動産取引価格情報,福岡県,北九州市若松区,本町,17000000,80.0,2000,2021,701250.0,21,33.90296433333333,130.80985633333333
不動産取引価格情報,福岡県,北九州市若松区,大字払川,15000000,80.0,2005,2021,618750.0,16,33.900211,130.721155
成約価格情報,福岡県,北九州市若松区,高須東,24000000,90.0,2017,2021,880000.0,4,33.890449749999995,130.695457
不動産取引価格情報,福岡県,北九州市若松区,二島,4500000,55.0,1990,2021,270000.0,31,33.89316650000001,130.7430675
成約価格情報,福岡県,北九州市戸畑区,初音町,11000000,75.0,1985,2021,483999.99999999994,36,33.893928,130.820844
成約価格情報,福岡県,北九州市戸畑区,初音町,11000000,75.0,1985,2021,483999.99999999994,36,33.893928,130.820844
成約価格情報,福岡県,北九州市戸畑区,沢見,24000000,105.0,1997,2021,754285.7142857143,24,33.893243999999996,130.8374005
成約価格情報,福岡県,北九州市戸畑区,沢見,17000000,75.0,1995,2021,747999.9999999999,26,33.893243999999996,130.8374005
成約価格情報,福岡県,北九州市戸畑区,浅生,2900000,50.0,1974,2021,191400.0,47,33.89269933333333,130.826672
成約価格情報,福岡県,北九州市戸畑区,浅生,8000000,85.0,1984,2021,310588.2352941176,37,33.89269933333333,130.826672
